Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,5-Year Moving Avg,Month,Monthly_Temp_anomaly,Seasonal_Temp_anomaly,Season_Spring,Season_Summer,Season_Winter,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_6,Month_sin,Month_cos
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,4,0.83,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.8660254037844387,-0.4999999999999998
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,4,0.83,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.8660254037844387,-0.4999999999999998
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,4,0.83,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.8660254037844387,-0.4999999999999998
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,4,0.83,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.8660254037844387,-0.4999999999999998
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,5,0.84,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.49999999999999994,-0.8660254037844387
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,5,0.84,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.49999999999999994,-0.8660254037844387
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,5,0.84,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.49999999999999994,-0.8660254037844387
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,5,0.84,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.49999999999999994,-0.8660254037844387
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,6,0.92,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,1.2246467991473532e-16,-1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,6,0.92,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,1.2246467991473532e-16,-1.0
